model,roc_auc,precision,recall,f1,accuracy,tp,fp,tn,fn,support,positive_rate,predicted_positive_rate,roc_curve_image,feature_importance_chart,confusion_matrix_csv
churn_prediction,0.96719088791277,1.0,0.926655719759168,0.9619318181818182,0.9776666666666667,1693,0,4173,134,6000,0.3045,0.2821666666666667,output/model_evaluation/churn_prediction_roc_curve.png,output/model_evaluation/churn_prediction_feature_importance.png,output/model_evaluation/churn_prediction_confusion_matrix.csv
embedded_finance_adoption,0.9633885923704276,0.8924689440993789,0.8402777777777778,0.8655873493975903,0.881,2299,277,2987,437,6000,0.456,0.42933333333333334,output/model_evaluation/embedded_finance_adoption_roc_curve.png,output/model_evaluation/embedded_finance_adoption_feature_importance.png,output/model_evaluation/embedded_finance_adoption_confusion_matrix.csv
