threshold,precision,recall,f1,accuracy,tp,fp,tn,fn,predicted_positive_rate,recommended
0.5,0.008280757097791799,0.7241379310344828,0.016374269005847954,0.5795,21,2515,3456,8,0.4226666666666667,False
0.6,0.007449856733524355,0.4482758620689655,0.014656144306651636,0.7086666666666667,13,1732,4239,16,0.29083333333333333,False
0.65,0.00880410858400587,0.41379310344827586,0.017241379310344827,0.772,12,1351,4620,17,0.22716666666666666,False
0.7,0.009018036072144289,0.3103448275862069,0.017526777020447908,0.8318333333333333,9,989,4982,20,0.16633333333333333,False
0.75,0.012759170653907496,0.27586206896551724,0.024390243902439025,0.8933333333333333,8,619,5352,21,0.1045,True
